0	f_tot	40.96829359
2	f_tot	40.93922367
4	f_tot	37.78876176
6	f_tot	32.95050305
8	f_tot	30.60272508
10	f_tot	28.86177172
12	f_tot	27.3579641
14	f_tot	25.9551268
16	f_tot	24.67629785
18	f_tot	23.58925508
20	f_tot	22.65345962
22	f_tot	21.90847579
24	f_tot	21.27075865
26	f_tot	20.69388826
28	f_tot	20.18662959
30	f_tot	19.74628577
32	f_tot	19.35198453
34	f_tot	18.99501574
36	f_tot	18.6754265
38	f_tot	18.37271148
40	f_tot	18.07404336
42	f_tot	17.75830339
44	f_tot	17.48140142
46	f_tot	17.22267766
48	f_tot	16.97353375
50	f_tot	16.72080338
52	f_tot	16.49289808
54	f_tot	16.27373281
56	f_tot	16.0705307
58	f_tot	15.85845055
60	f_tot	15.65944847
62	f_tot	15.47477736
64	f_tot	15.3196961
66	f_tot	15.15677403
68	f_tot	15.00719523
70	f_tot	14.86899933
72	f_tot	14.74144439
74	f_tot	14.59664856
76	f_tot	14.45942545
78	f_tot	14.33409315
80	f_tot	14.21900582
82	f_tot	14.09023416
84	f_tot	13.97051759
86	f_tot	13.85687049
88	f_tot	13.74732808
90	f_tot	13.61945439
92	f_tot	13.51150232
94	f_tot	13.41846797
96	f_tot	13.33072445
98	f_tot	13.22372045
100	f_tot	13.12392872
102	f_tot	13.03193852
104	f_tot	12.94662478
106	f_tot	12.85327091
108	f_tot	12.76692719
110	f_tot	12.68556261
112	f_tot	12.60841543
114	f_tot	12.52021738
116	f_tot	12.432585
118	f_tot	12.36122807
120	f_tot	12.29800678
122	f_tot	12.22551309
124	f_tot	12.15858158
126	f_tot	12.09560226
128	f_tot	12.03613498
130	f_tot	11.96874245
132	f_tot	11.90718019
134	f_tot	11.84982598
136	f_tot	11.79636748
138	f_tot	11.73723399
140	f_tot	11.68400743
142	f_tot	11.63446667
144	f_tot	11.58834613
146	f_tot	11.53494241
148	f_tot	11.4854638
150	f_tot	11.43882771
152	f_tot	11.39475568
154	f_tot	11.34500114
156	f_tot	11.30015851
158	f_tot	11.25787562
160	f_tot	11.2180072
162	f_tot	11.17296227
164	f_tot	11.13208018
166	f_tot	11.09359749
168	f_tot	11.05732458
170	f_tot	11.01866126
172	f_tot	10.98359028
174	f_tot	10.95039186
176	f_tot	10.91887099
178	f_tot	10.88149323
180	f_tot	10.84763783
182	f_tot	10.81553063
184	f_tot	10.78494948
186	f_tot	10.75088284
188	f_tot	10.72000047
190	f_tot	10.69065981
192	f_tot	10.66260947
194	f_tot	10.63157456
196	f_tot	10.60347366
198	f_tot	10.57659106
200	f_tot	10.5508564
